from,to,relation,show,instagram
elpi,tata,0,0,1
elpi,stsc,0,0,1
elpi,palj,0,0,1
elpi,edpi,0,0,1
elpi,lubi,0,0,1
elpi,nagr,0,0,1
elpi,sanja,0,0,1
elpi,becm,0,0,1
elpi,joma,0,0,1
elpi,vimi,0,0,1
elpi,caog,0,0,1
elpi,joja,0,0,1
elpi,rogr,0,0,1
elpi,siho,0,0,1
elpi,jeig,0,0,1
elpi,garo,0,0,1
elpi,joest,0,0,1
elpi,jelo,0,0,1
elpi,saya,0,0,1
henn,bekl,0,0,1
henn,jost,0,0,1
henn,lale,0,0,1
henn,palj,0,0,1
henn,liba,0,0,1
henn,edpi,0,0,1
henn,jede,0,0,1
henn,gisi,0,0,1
henn,coci,0,0,1
henn,emfe,0,0,1
henn,aula,0,0,1
henn,nagr,0,0,1
henn,tikü,0,0,1
henn,sabe,0,0,1
henn,inki,0,0,1
henn,sanja,0,0,1
henn,kenj,0,0,1
henn,sisa,0,0,1
henn,xast,0,0,1
henn,anro,0,0,1
henn,nell,0,0,1
henn,lefü,0,0,1
henn,caog,0,0,1
henn,joja,0,0,1
henn,lenn,0,0,1
henn,olgi,0,0,1
henn,rogr,0,0,1
henn,jioc,0,0,1
henn,jeig,0,0,1
henn,tako,0,0,1
joma,jost,0,0,1
joma,palj,0,0,1
joma,liba,0,0,1
joma,edpi,0,0,1
joma,jede,0,0,1
joma,aula,0,0,1
joma,tikü,0,0,1
joma,sanja,0,0,1
joma,kenj,0,0,1
joma,sisa,0,0,1
joma,anro,0,0,1
joma,arie,0,0,1
joma,elpi,0,0,1
joma,nell,0,0,1
joma,caog,0,0,1
joma,joja,0,0,1
joma,nikö,0,0,1
joma,rogr,0,0,1
joma,dicv,0,0,1
joma,jeig,0,0,1
joma,garo,0,0,1
joma,dibr,0,0,1
joma,joest,0,0,1
joma,jelo,0,0,1
nell,jost,0,0,1
nell,lino,0,0,1
nell,sanja,0,0,1
nell,kenj,0,0,1
nell,henn,0,0,1
nell,joma,0,0,1
nell,jioc,0,0,1
nell,jeig,0,0,1
nell,tako,0,0,1
nell,josst,0,0,1
vimi,tope,0,0,1
vimi,palj,0,0,1
vimi,elpi,0,0,1
vimi,henn,0,0,1
vimi,nell,0,0,1
vimi,lefü,0,0,1
vimi,liga,0,0,1
vimi,siho,0,0,1
lefü,hasu,0,0,1
lefü,jost,0,0,1
lefü,makl,0,0,1
lefü,coci,0,0,1
lefü,nagr,0,0,1
lefü,jegr,0,0,1
lefü,lamo,0,0,1
lefü,inki,0,0,1
lefü,sanja,0,0,1
lefü,kenj,0,0,1
lefü,sisa,0,0,1
lefü,xast,0,0,1
lefü,becm,0,0,1
lefü,henn,0,0,1
lefü,caog,0,0,1
lefü,joja,0,0,1
lefü,lenn,0,0,1
lefü,olgi,0,0,1
lefü,rogr,0,0,1
lefü,liga,0,0,1
lefü,siho,0,0,1
lefü,yasy,0,0,1
lefü,dicv,0,0,1
lefü,jeig,0,0,1
lefü,joest,0,0,1
lefü,jelo,0,0,1
caog,jost,0,0,1
caog,rywö,0,0,1
caog,coci,0,0,1
caog,lubi,0,0,1
caog,pahe,0,0,1
caog,emfe,0,0,1
caog,sanja,0,0,1
caog,kenj,0,0,1
caog,sisa,0,0,1
caog,xast,0,0,1
caog,anro,0,0,1
caog,arie,0,0,1
caog,becm,0,0,1
caog,elpi,0,0,1
caog,henn,0,0,1
caog,joma,0,0,1
caog,lefü,0,0,1
caog,cast,0,0,1
caog,joja,0,0,1
caog,lenn,0,0,1
caog,olgi,0,0,1
caog,rogr,0,0,1
caog,jioc,0,0,1
caog,umte,0,0,1
caog,joest,0,0,1
caog,jelo,0,0,1
cast,caka,0,0,1
cast,tata,0,0,1
cast,tope,0,0,1
cast,palj,0,0,1
cast,lubi,0,0,1
cast,tikü,0,0,1
cast,sanja,0,0,1
cast,kenj,0,0,1
cast,sisa,0,0,1
cast,xast,0,0,1
cast,arie,0,0,1
cast,becm,0,0,1
cast,caog,0,0,1
cast,joja,0,0,1
cast,olgi,0,0,1
cast,rogr,0,0,1
cast,jioc,0,0,1
cast,fipa,0,0,1
cast,siho,0,0,1
cast,dicv,0,0,1
cast,tako,0,0,1
cast,josst,0,0,1
cast,saya,0,0,1
cast,mimo,0,0,1
joja,makl,0,0,1
joja,sanja,0,0,1
joja,kenj,0,0,1
joja,xast,0,0,1
joja,anro,0,0,1
joja,becm,0,0,1
joja,elpi,0,0,1
joja,henn,0,0,1
joja,joma,0,0,1
joja,lefü,0,0,1
joja,caog,0,0,1
joja,cast,0,0,1
joja,lenn,0,0,1
joja,olgi,0,0,1
joja,rogr,0,0,1
joja,jioc,0,0,1
joja,yasy,0,0,1
joja,tako,0,0,1
joja,evbe,0,0,1
lenn,jost,0,0,1
lenn,lefü,0,0,1
lenn,caog,0,0,1
lenn,joja,0,0,1
lenn,rogr,0,0,1
lenn,jioc,0,0,1
nikö,xast,0,0,1
nikö,becm,0,0,1
nikö,cast,0,0,1
nikö,joja,0,0,1
nikö,rogr,0,0,1
